party_id,party_type,display_name,first_name,last_name,organization_name,date_of_birth,email,phone,preferred_contact_method
PTY000001,person,Danielle Johnson,Danielle,Johnson,,1959-06-04,jeffreydoyle@example.net,001-581-896-0013x3890,email
PTY000002,person,Jeffrey Lawrence,Jeffrey,Lawrence,,1995-10-16,blakeerik@example.com,942-335-1161x55940,phone
PTY000003,person,Teresa Gray,Teresa,Gray,,1978-04-11,maria95@example.net,610.934.1316,phone
PTY000004,person,Cynthia Diaz,Cynthia,Diaz,,1965-11-24,jason41@example.net,+1-228-732-7648x3503,app
PTY000005,person,Richard Jones,Richard,Jones,,2002-11-06,jason76@example.net,724.523.8849x696,app
PTY000006,person,Wendy Taylor,Wendy,Taylor,,1974-04-17,camposmichelle@example.org,+1-326-691-6697x8480,email
PTY000007,person,Kayla Peterson,Kayla,Peterson,,1960-09-05,amoore@example.net,001-248-728-1489x3252,email
PTY000008,person,Tracy Rodriguez,Tracy,Rodriguez,,1965-05-29,john39@example.org,671-882-2782,phone
PTY000009,organization,Hickman Ltd,,,Hickman Ltd,,jenniferross@example.net,+1-557-587-1331x5098,app
PTY000010,person,Adrian Zimmerman,Adrian,Zimmerman,,1944-09-18,carlosjohnson@example.com,983-547-3829,app
PTY000011,person,Kristen Aguirre,Kristen,Aguirre,,1953-08-31,davisryan@example.com,(870)410-6513x33872,app
PTY000012,person,Joshua Wright,Joshua,Wright,,2003-07-15,ramosmichelle@example.net,908-501-3267,phone
PTY000013,person,Michelle Barrera,Michelle,Barrera,,1951-11-30,ysmith@example.com,246.787.2343x098,app
PTY000014,person,Brian Silva,Brian,Silva,,1974-12-05,brianromero@example.org,291-336-1939,email
PTY000015,person,Robert Silva,Robert,Silva,,1976-04-13,sarah35@example.org,362-547-5107x991,mail
PTY000016,person,William Anderson,William,Anderson,,1964-06-16,suarezmike@example.org,384.498.0841x241,sms
PTY000017,person,Joseph Jacobs,Joseph,Jacobs,,1989-07-17,james48@example.com,801-264-0052x427,phone
PTY000018,person,Daniel Landry,Daniel,Landry,,1987-09-25,amydavenport@example.net,+1-526-520-4505,email
PTY000019,person,Elizabeth Gomez,Elizabeth,Gomez,,1978-10-22,vdickson@example.org,622.460.2563,mail
PTY000020,person,Kristin Rodriguez,Kristin,Rodriguez,,2000-01-22,garrisonjeffrey@example.com,(843)730-3654x145,sms
PTY000021,person,Sheila Wilson,Sheila,Wilson,,2006-09-29,gregory40@example.org,+1-265-856-9816x934,app
PTY000022,person,Aaron Frost,Aaron,Frost,,1977-05-08,michaeljones@example.net,895-814-8465x64823,email
PTY000023,person,Erica Orr,Erica,Orr,,1982-08-05,richard04@example.com,969.495.7773,app
PTY000024,person,Donna Campbell,Donna,Campbell,,1985-11-19,clarence34@example.org,820.503.7917,mail
PTY000025,person,Jennifer Cruz,Jennifer,Cruz,,1967-11-27,dylanwatts@example.org,001-763-928-7083x17278,app
PTY000026,person,Cheyenne Ball,Cheyenne,Ball,,1975-01-22,jrivas@example.com,(677)943-4873,app
PTY000027,person,Chris Mitchell,Chris,Mitchell,,1959-03-14,luis81@example.org,(936)823-1665,app
PTY000028,person,Bryan Wall,Bryan,Wall,,1967-03-19,gateskathy@example.com,805.946.6889x3734,email
PTY000029,person,Anthony Rogers,Anthony,Rogers,,1986-12-04,dramsey@example.org,+1-280-669-9016x272,phone
